distance_m,loss_db,throughput_kbps
5.0,62.0,8468.0
5.0,60.0,14563.0
5.0,61.0,14563.0
5.0,60.0,14563.0
5.0,61.0,14563.0
5.0,59.0,14563.0
5.0,59.0,14563.0
5.0,60.0,14563.0
5.0,59.0,14563.0
5.0,63.0,14563.0
5.0,62.0,14563.0
5.0,60.0,14563.0
5.0,60.0,14563.0
5.0,61.0,14563.0
5.0,63.0,14563.0
5.0,63.0,14563.0
5.0,64.0,14563.0
5.0,63.0,14563.0
5.0,63.0,14563.0
5.0,63.0,14563.0
5.0,62.0,14563.0
5.0,63.0,14563.0
5.0,62.0,14563.0
5.0,63.0,14563.0
5.0,64.0,14563.0
5.0,63.0,14563.0
5.0,63.0,14563.0
5.0,64.0,14563.0
5.0,63.0,14563.0
4.0,63.0,18111.0
4.0,64.0,18111.0
4.0,64.0,18111.0
4.0,43.0,18111.0
4.0,63.0,18111.0
4.0,65.0,18111.0
4.0,62.0,18111.0
4.0,63.0,18111.0
4.0,62.0,18111.0
4.0,61.0,18111.0
4.0,61.0,18111.0
4.0,62.0,18111.0
4.0,64.0,18111.0
4.0,62.0,18111.0
4.0,64.0,18111.0
4.0,62.0,18111.0
4.0,61.0,18111.0
4.0,60.0,18111.0
4.0,63.0,18111.0
4.0,62.0,18111.0
4.0,62.0,18111.0
4.0,63.0,18111.0
4.0,64.0,18111.0
4.0,64.0,18111.0
4.0,64.0,18111.0
4.0,63.0,18111.0
4.0,64.0,18111.0
4.0,65.0,18111.0
4.0,65.0,18111.0
4.0,66.0,18111.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,67.0,20193.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,67.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,66.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,68.0,20193.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,66.0,20193.0
4.0,65.0,20193.0
4.0,66.0,20193.0
4.0,65.0,20193.0
4.0,67.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,66.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
