x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28873.6
0,0,0,2,2,0,28864.6
0,0,0,2,4,0,28860.2
0,0,0,2,5,0,28638.4
0,0,0,2,6,0,26232.6
0,0,0,2,7,0,19156.5
0,0,0,3,0,0,28840
0,0,0,4,0,0,28822.1
0,0,0,5,0,0,28748.2
0,0,0,6,0,0,27021.1
0,0,0,7,0,0,21345
0,0,0,8,0,0,19909.1
0,0,0,9,0,0,20572.2
0,0,0,10,0,0,20482.6
0,0,0,11,0,0,19933.8
0,0,0,12,0,0,16580.5
0,0,0,13,0,0,15232
0,0,0,14,0,0,15137.9
0,0,0,15,0,0,14994.6
0,0,0,16,0,0,14566.7
0,0,0,17,0,0,13021.1
0,0,0,18,0,0,11851.8
0,0,0,19,0,0,11881
0,0,0,20,0,0,12044.5
0,0,0,21,0,0,12127.4
0,0,0,22,0,0,12071.4
0,0,0,23,0,0,11916.8
0,0,0,24,0,0,11334.4
