x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28806.4
0,0,0,2,2,0,28855.7
0,0,0,2,4,0,28817.6
0,0,0,2,5,0,28853.4
0,0,0,2,6,0,28743.7
0,0,0,2,7,0,28629.4
0,0,0,3,0,0,28788.5
0,0,0,4,0,0,28862.4
0,0,0,5,0,0,28837.8
0,0,0,6,0,0,28860.2
0,0,0,7,0,0,28625
0,0,0,8,0,0,27688.6
0,0,0,9,0,0,26049
0,0,0,10,0,0,21179.2
0,0,0,11,0,0,21192.6
0,0,0,12,0,0,18878.7
0,0,0,13,0,0,20556.5
0,0,0,14,0,0,20565.4
0,0,0,15,0,0,20536.3
0,0,0,16,0,0,20415.4
0,0,0,17,0,0,19985.3
0,0,0,18,0,0,18211.2
0,0,0,19,0,0,14918.4
0,0,0,20,0,0,15113.3
0,0,0,21,0,0,14878.1
0,0,0,22,0,0,14893.8
0,0,0,23,0,0,15077.4
0,0,0,24,0,0,15010.2
