x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,snr_db,noise_dbm,throughput_kbps
0.0,0.0,0.0,2.0,0.0,0.0,14.2,-95.0,13795.8
0.0,0.0,0.0,2.0,2.0,0.0,15.9,-95.0,15574.7
0.0,0.0,0.0,2.0,4.0,0.0,16.5,-95.0,15822.6
0.0,0.0,0.0,2.0,5.0,0.0,12.5,-95.0,11541.1
0.0,0.0,0.0,2.0,6.0,0.0,13.6,-95.0,11887.7
0.0,0.0,0.0,2.0,7.0,0.0,15.8,-95.0,14753.2
0.0,0.0,0.0,3.0,0.0,0.0,13.6,-95.0,12264.1
0.0,0.0,0.0,4.0,0.0,0.0,13.0,-95.0,11741.4
0.0,0.0,0.0,5.0,0.0,0.0,13.5,-95.0,12795.9
0.0,0.0,0.0,6.0,0.0,0.0,12.2,-95.0,10896.2
0.0,0.0,0.0,7.0,0.0,0.0,11.7,-95.0,10459.8
0.0,0.0,0.0,8.0,0.0,0.0,10.9,-95.0,10057.8
0.0,0.0,0.0,9.0,0.0,0.0,10.9,-95.0,10275.4
0.0,0.0,0.0,10.0,0.0,0.0,10.4,-95.0,10357.9
0.0,0.0,0.0,11.0,0.0,0.0,10.4,-95.0,10229.3
0.0,0.0,0.0,12.0,0.0,0.0,9.9,-95.0,8536.1
0.0,0.0,0.0,13.0,0.0,0.0,9.5,-95.0,7637.5
0.0,0.0,0.0,14.0,0.0,0.0,10.2,-95.0,10391.4
0.0,0.0,0.0,15.0,0.0,0.0,10.0,-95.0,10410.2
0.0,0.0,0.0,16.0,0.0,0.0,10.1,-95.0,9844.8
0.0,0.0,0.0,17.0,0.0,0.0,8.8,-95.0,7974.6
0.0,0.0,0.0,18.0,0.0,0.0,9.2,-95.0,8687.3
0.0,0.0,0.0,19.0,0.0,0.0,9.3,-95.0,8476.7
0.0,0.0,0.0,20.0,0.0,0.0,8.6,-95.0,8434.1
0.0,0.0,0.0,21.0,0.0,0.0,8.6,-95.0,8353.0
0.0,0.0,0.0,22.0,0.0,0.0,8.5,-95.0,8617.5
0.0,0.0,0.0,23.0,0.0,0.0,8.2,-95.0,7800.4
0.0,0.0,0.0,24.0,0.0,0.0,8.0,-95.0,8303.0
