x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28813.1
0,0,0,2,2,0,28853.4
0,0,0,2,4,0,28853.4
0,0,0,2,5,0,28707.8
0,0,0,2,6,0,26223.7
0,0,0,2,7,0,19138.6
0,0,0,3,0,0,28842.2
0,0,0,4,0,0,28822.1
0,0,0,5,0,0,28721.3
0,0,0,6,0,0,26940.5
0,0,0,7,0,0,22220.8
0,0,0,8,0,0,19900.2
0,0,0,9,0,0,20590.1
0,0,0,10,0,0,20520.6
0,0,0,11,0,0,19920.3
0,0,0,12,0,0,16441.6
0,0,0,13,0,0,15379.8
0,0,0,14,0,0,15135.7
0,0,0,15,0,0,15084.2
0,0,0,16,0,0,14737
0,0,0,17,0,0,13021.1
0,0,0,18,0,0,11706.2
0,0,0,19,0,0,12022.1
0,0,0,20,0,0,12069.1
0,0,0,21,0,0,12199
0,0,0,22,0,0,12158.7
0,0,0,23,0,0,11919
0,0,0,24,0,0,11439.7
