x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,11988.5
0,0,0,2,2,0,15946.6
0,0,0,2,4,0,18278.4
0,0,0,2,5,0,18034.2
0,0,0,2,6,0,11663.7
0,0,0,2,7,0,15753.9
0,0,0,3,0,0,12378.2
0,0,0,4,0,0,10761
0,0,0,5,0,0,12219.2
0,0,0,6,0,0,11318.7
0,0,0,7,0,0,10270.4
0,0,0,8,0,0,10259.2
0,0,0,9,0,0,11007.4
0,0,0,10,0,0,9647.68
0,0,0,11,0,0,9219.84
0,0,0,12,0,0,9374.4
0,0,0,13,0,0,9125.76
0,0,0,14,0,0,9912
0,0,0,15,0,0,9663.36
0,0,0,16,0,0,9909.76
0,0,0,17,0,0,8861.44
0,0,0,18,0,0,8872.64
0,0,0,19,0,0,9408
0,0,0,20,0,0,8892.8
0,0,0,21,0,0,9394.56
0,0,0,22,0,0,7904.96
0,0,0,23,0,0,7824.32
0,0,0,24,0,0,8037.12
