x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28831
0,0,0,2,2,0,28806.4
0,0,0,2,4,0,28846.7
0,0,0,2,5,0,28862.4
0,0,0,2,6,0,28692.2
0,0,0,2,7,0,28533.1
0,0,0,3,0,0,28857.9
0,0,0,4,0,0,28855.7
0,0,0,5,0,0,28819.8
0,0,0,6,0,0,28822.1
0,0,0,7,0,0,28663
0,0,0,8,0,0,27529.6
0,0,0,9,0,0,25883.2
0,0,0,10,0,0,21159
0,0,0,11,0,0,20769.3
0,0,0,12,0,0,18699.5
0,0,0,13,0,0,20619.2
0,0,0,14,0,0,20547.5
0,0,0,15,0,0,20534.1
0,0,0,16,0,0,20404.2
0,0,0,17,0,0,19871
0,0,0,18,0,0,18238.1
0,0,0,19,0,0,15021.4
0,0,0,20,0,0,14875.8
0,0,0,21,0,0,14862.4
0,0,0,22,0,0,14768.3
0,0,0,23,0,0,14985.6
0,0,0,24,0,0,14961
